"CLASS","SUBCLASS","MANUF"
"ACD","ACD","Nortel"
"Ana","BI","KNIME"
"Ana","BI","Platfora"
"Ana","BI","QLIKTECH"
"Ana","BI","Tableau"
"Ana","Finan","FactSet"
"AUX","DAS","DELL"
"AUX","DAS","EMC"
"AUX","DAS","HITACHI"
"AUX","DAS","IBM"
"AUX","NAS","ADTRAN"
"AUX","NAS","CISCO"
"AUX","NAS","DELL"
"AUX","NAS","Dell"
"AUX","NAS","EMC"
"AUX","NAS","ExaGrid Sys"
"AUX","NAS","Fujitsu"
"AUX","NAS","HITACHI"
"AUX","NAS","HP"
"AUX","NAS","IBM"
"AUX","NAS","IOMEGA"
"AUX","NAS","Microsoft"
"AUX","NAS","NETAPP"
"AUX","NAS","NetApp"
"AUX","NAS","NETGATE-NET"
"AUX","NAS","NETGEAR"
"AUX","NAS","Nutanix"
"AUX","NAS","Oracle"
"AUX","NAS","Panasas"
"AUX","NAS","PromiseTech"
"AUX","NAS","PureStorage"
"AUX","NAS","RAIDTEC"
"AUX","NAS","SanDisk"
"AUX","NAS","SONY"
"AUX","NAS","Synology"
"AUX","NAS","Tegile"
"AUX","NAS","tintri"
"AUX","NAS","Xiotech"
"AUX","SAN","EMC"
"AUX","SAN","HP"
"AUX","SAN","IBM"
"AUX","SAN","Kaminario"
"AUX","SAN","NETAPP"
"AUX","SAN","NetApp"
"Col","Commu","ZIMBRA"
"Col","Produ","FareHarbor"
"Col","Produ","Mindbody"
"Col","Produ","Vagaro"
"Col","Produ","Vendini"
"Con","Archi","Sitecore"
"Con","Conte","Collective"
"Con","Conte","Shutterstoc"
"Con","Conte","Zemanta"
"Con","Web T","EdgeCast"
"Con","Web T","Firespring"
"Con","Web T","Incapsula"
"Con","Web T","WordPress.c"
"CPC","BYOD","Acer"
"CPC","BYOD","Advantech"
"CPC","BYOD","AMD"
"CPC","BYOD","Dell"
"CPC","BYOD","Eaton"
"CPC","BYOD","FileZilla"
"CPC","BYOD","IBM"
"CPC","BYOD","Intel"
