"CLASS,""SUBCLASS"""
"ACD,""ACD"""
"Ana,""Finan"""
"Ana,""BI"""
"AUX,""NAS"""
"AUX,""SAN"""
"AUX,""DAS"""
"Col,""Commu"""
"Col,""Produ"""
"Con,""Web T"""
"Con,""Conte"""
"Con,""Archi"""
"CPC,""PPC"""
"CPC,""DKPR"""
"CPC,""BYOD"""
"CPC,""DPC"""
"CPU,""SVPR"""
"CPU,""SRV"""
"CPW,""WKPR"""
"CPW,""WRK"""
"CPW,""SVR"""
"CRM,""Web C"""
"CRM,""CRM"""
"CRM,""Web T"""
"CRM,""Comme"""
"CRM,""BI"""
"CRM,""Produ"""
"CRM,""MPM"""
"CRM,""Marke"""
"Dat,""Archi"""
"Dat,""Data"""
"Dat,""Netwo"""
"Dat,""App D"""
"Dat,""Softw"""
"Dat,""Web T"""
"Dig,""onlin"""
"Dig,""Web T"""
"Dig,""Onlin"""
"Dig,""Stora"""
"E-C,""BI"""
"E-C,""Comme"""
"ERP,""Comme"""
"ERP,""Finan"""
"ERP,""App D"""
"ERP,""eBusi"""
"ERP,""Web T"""
"ERP,""Colla"""
"ERP,""ECOMM"""
"HOS,""HANDO"""
"Hos,""Cloud"""
"Hos,""Web T"""
"Hos,""IT In"""
"Hos,""adver"""
"Hos,""Email"""
"HR,""HR Sy"""
"HST,""Web T"""
"IAP,""INETP"""
"IT,""Web T"""
"IT,""Archi"""
"IT,""BI"""
"IT,""App D"""
"IT,""Netwo"""
"IT,""Data"""
"IT,""Cloud"""
"LDC,""PBXLD"""
"LSW,""LANSW"""
"NET,""NETSV"""
New,NULL
"NLV,""NLV"""
"NTL,""NETLN"""
"Off,""Sound"""
"Off,""App D"""
"Off,""Enter"""
"Off,""Photo"""
"OPR,""OPR"""
"OPR,""DTPRG"""
"OPR,""OSPR"""
"PBX,""PBX"""
"PRG,""PUERP"""
"PRG,""SAPRG"""
"PRG,""EMPRG"""
"PRG,""ISPRG"""
"PRG,""ITOM"""
"PRG,""DRPRG"""
"PRG,""BSPRG"""
"PRG,""VSTOR"""
"PRG,""LGPRG"""
"PRG,""REPRG"""
"PRG,""COPRG"""
"PRG,""PMPRG"""
"PRG,""ASPRG"""
"PRG,""PJPRG"""
"PRG,""PMERP"""
"PRG,""SOPRG"""
"PRG,""EDPRG"""
"PRG,""DSPRG"""
"PRG,""MEPRG"""
"PRG,""EIPRG"""
"PRG,""SVPRG"""
"PRG,""ACPRG"""
"PRG,""ACERP"""
"PRG,""PAAS"""
"PRG,""HRPRG"""
"PRG,""RTPRG"""
"PRG,""CNPRG"""
"PRG,""GPPRG"""
"PRG,""CCPRG"""
"PRG,""TDPRG"""
"PRG,""APPRG"""
"PRG,""VDESK"""
"PRG,""CMPRG"""
"PRG,""AVPRG"""
"PRG,""DBPRG"""
"PRG,""SCERP"""
"PRG,""NMPRG"""
"PRG,""SAAS"""
"PRG,""WCPRG"""
"PRG,""CRERP"""
"PRG,""BIPRG"""
"PRG,""DKERP"""
"PRG,""MPPRG"""
"PRG,""SRERP"""
"PRG,""COMPR"""
"PRG,""MAPRG"""
"PRG,""FWALL"""
"PRG,""GEPRG"""
"PRG,""IAAS"""
"PRG,""DTPRG"""
"PRG,""SCPRG"""
"PRG,""SIPRG"""
"PRG,""HRERP"""
"PRG,""DMPRG"""
"PRG,""ERP"""
"PRG,""MDPRG"""
"PRG,""STPRG"""
"PRG,""ITPRG"""
"PRG,""VSERV"""
"PRG,""CRPRG"""
"PRG,""IMERP"""
"Pro,""Devel"""
"PRT,""PRTOT"""
"PRT,""COPPR"""
"PRT,""HVPPR"""
"PRT,""PRTPR"""
"RTR,""LANRT"""
"SMT,""HAND"""
"SMT,""PPC"""
"Sof,""Web T"""
"Sof,""App D"""
"Sof,""Media"""
"Sof,""Softw"""
"Sof,""Conte"""
"Sof,""Mobil"""
"SRV,""CPSDP"""
"SSE,""SURVL"""
"Sup,""Manag"""
"TAB,""TAB"""
"UCS,""UCSMN"""
"UPS,""UPS"""
"VCS,""UCSVD"""
"Ver,""Marke"""
"Ver,""Real"""
"Ver,""Asset"""
"Ver,""Elect"""
"Ver,""Fundr"""
"Ver,""Comme"""
"VIP,""VIP"""
"VPN,""VPN"""
"WIS,""CELL"""
NULL,NULL
