GLOBAL	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
INFORGLOBAL	HUMAN-RES	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
OTHER	ROUTER	ROUTER	ROUTER	ROUTER
VERIZONWIRE	CELLULAR	CELLULAR	CELLULAR	CELLULAR PROVIDER
LOTUS	DBMS	DBMS	DBMS-BI	DATABASE MANAGEMENT
SYSPRO	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
OCE	PRODUCTION	PRODUCTION	PRODUCTION	PRODUCTION PRINTER
ACCTON	SWITCH	SWITCH	SWITCH	LAN SWITCH
AT&T	PHONE-SYS	PHONE-SYS	PHONE-SYS	PHONE SYSTEM
INFOR	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
SONY	VIDEO-CONF	VIDEO-CONF	VIDEO-CONF	VIDEO CONFERENCING
HP	CYCLONE	CYCLONE	CYCLONE	SERVER
WATCHGUARD	VPN	VPN	VPN	VIRTUAL PRIVATE NETWORK
HP	MIDRANGE	MIDRANGE	MIDRANGE	SERVER
PROGRESS	DEV-TOOL	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
MICROSOFT	PORTAL	PORTAL-MGMT	WORKFLOW	PORTAL MANAGEMENT
OTHER	UPS			POWER SYSTEM
CINGULAR	CELLULAR	CELLULAR	CELLULAR	CELLULAR PROVIDER
MICROSOFT	NT-SERVER3	NT-SERVER	NT-SERVER	OPERATING SYSTEM
APPLE	UNIX	UNIX	UNIX	OPERATING SYSTEM
ORACLE	APP-SERVER	APP-SERVER	WORKFLOW	APPLICATION SERVER SOFTWARE
TELCO	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
IBM	SAN	SAN	SAN	STORAGE AREA NETWORK
ECLIPSE	ECLIPSE	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
QUANTUM	NAS	DISK-NAS	NAS	NETWORK ATTACHED STORAGE
VERIZON	ETHERNET	ETHERNET	ETHERNET	ETHERNET NETWORK
ORACLE	EAI	EAI	WORKFLOW	ENTERPRISE APPL INTEGRATION
WATCHGUARD	ID-MGMT	IDENTITY-MGT	SECURITY-MGT	IDENTITY MANAGEMENT
COMPOZ-SOFT	PORTAL	PORTAL-MGMT	WORKFLOW	PORTAL MANAGEMENT
ALBACOM	VPN	VPN	VPN	VIRTUAL PRIVATE NETWORK
BROTHER	PRINTER	PRINTER	PRINTER	PRINTER
POLYCOM	VIDEO-CONF	VIDEO-CONF	VIDEO-CONF	VIDEO CONFERENCING
CA	DBMS	DBMS	DBMS-BI	DATABASE MANAGEMENT
CISCO	UNIFIED-COMM	UNIFIED-COMM	UNIFIED-COMM	UNIFIED COMMUNICATIONS SRVS
AT&T	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
QMS	PRINTER	PRINTER	PRINTER	PRINTER
SUN	ID-MGMT	IDENTITY-MGT	SECURITY-MGT	IDENTITY MANAGEMENT
IN-HOUSE	DOC-MGMT	DOC-MGMT	WORKFLOW	DOCUMENT MANAGEMENT
INTUIT	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
AST	DESKTOP	DESKTOP	PC	PERSONAL DESKTOP COMPUTER
HP	VAX	VAX	VAX	SERVER
CITRIX	SAAS	SAAS	CLOUD-CMPTNG	SOFTWARE AS A SERVICE
OTHER	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED LEASED LINE
ORACLE	ERP-UNSPEC	ERP-UNSPEC	ENTPRISE-APP	UNSPECIFIED ERP MODULE
TELCO	PHONE-SYS	PHONE-SYS	PHONE-SYS	PHONE SYSTEM
DELL	SAAS	SAAS	CLOUD-CMPTNG	SOFTWARE AS A SERVICE
LINKSYS	SWITCH	SWITCH	SWITCH	LAN SWITCH
GOOGLE	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	ANTI-VIRUS
INTEGRAL	HUMAN-RES	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
MICROSOFT	W2003-SERVER	W2003-SERVER	W2003-SERVER	LAN OPERATING SYSTEM
MINOLTA	PRINTER	PRINTER	PRINTER	PRINTER
STORAGETEK	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
OTHER	WORKSTATION	WORKSTATION	WORKSTATION	HIGH PERFORMANCE WORKSTATION
OTHER	DESKTOP-MGMT	DESKTOP-MGMT	SYSTEMS-MGMT	DESKTOP MANAGEMENT TOOLS
MICROSOFT	W2003-WEB	W2003-SERVER	W2003-SERVER	LAN OPERATING SYSTEM
INFORGLOBAL	SUPPLY-CHAIN	SUPPLY-CHAIN	ENTPRISE-APP	SUPPLY CHAIN MANAGEMENT
SUN-SOFT	PORTAL	PORTAL-MGMT	WORKFLOW	PORTAL MANAGEMENT
SPRINT	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
MICROSOFT	SAAS-STORAGE	SAAS-STORAGE	CLOUD-CMPTNG	STORAGE AS A SERVICE
ORACLE	GROUPWARE	GROUPWARE	OFFICE	GROUPWARE SOFTWARE
MICROSOFT	VISUALBASIC	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
QAD	SUPPLY-CHAIN	SUPPLY-CHAIN	ENTPRISE-APP	SUPPLY CHAIN MANAGEMENT
WHITE-BOX	PORTABLE	PORTABLE	PC	PERSONAL PORTABLE COMPUTER
UNSPECIFIED	SONET-SERV	SONET-SERV	SONET-SERV	SONET SERVICE
AVAYA	PHONE-SYS	PHONE-SYS	PHONE-SYS	PHONE SYSTEM
HP	ID-MGMT	IDENTITY-MGT	SECURITY-MGT	IDENTITY MANAGEMENT
NCR	BI	BI	DBMS-BI	BUSINESS INTELLIGENCE
OTHER	SERVER-MGMT	SERVER-MGMT	SYSTEMS-MGMT	SERVER MANAGEMENT TOOLS
SNAP	NAS	DISK-NAS	NAS	NETWORK ATTACHED STORAGE
BELL-CANADA	ATM-SERV	ATM-SERV	ATM-SERV	ATM SERVICE
UNSPECIFIED	SWITCH	SWITCH	SWITCH	LAN SWITCH
ACER	SERVER	UNSPEC-SVR	SERVER	SERVER
UNSPECIFIED	ANTI-VIRUS	ANTI-VIRUS	SECURITY-MGT	ANTI-VIRUS
REMEDY	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
XEROX	COPIER	COPIER	COPIER	OFFICE COPIER
PANASONIC	SURVEILLANCE	SURVEILLANCE	SURVEILLANCE	SURVEILLANCE EQUIPMENT
UNSPECIFIED	VIDEO-CONF	VIDEO-CONF	VIDEO-CONF	VIDEO CONFERENCING
VERIZON	VPN	VPN	VPN	VIRTUAL PRIVATE NETWORK
IBM	ZSERIES	ZSERIES	ZSERIES	IBM/PCM MAINFRAME
APPLE	DISK	DISK-DRIVE	DISK	DISK DRIVE
OTHER	MPLS	MPLS	MPLS	MULTIPROTCOL LABEL SWITCHING
MICROSOFT	DBMS	DBMS	DBMS-BI	DATABASE MANAGEMENT
HP	HIMALAYA	HIMALAYA	HIMALAYA	SERVER
SPRINT	PHONE-SYS	PHONE-SYS	PHONE-SYS	PHONE SYSTEM
SMC	SWITCH	SWITCH	SWITCH	LAN SWITCH
SUN	MIDRANGE	MIDRANGE	MIDRANGE	SERVER
HP	PATHWORKS-5	PATHWORKS	PATHWORKS	LAN OPERATING SYSTEM
IBM	PRINTER	PRINTER	PRINTER	PRINTER
ADP	SERVICES			SERVICES VENDOR
APPLE	XSERVE-G5	XSERVE-G5	XSERVE-G5	SERVER
CABLETRON	SWITCH	SWITCH	SWITCH	LAN SWITCH
SSA	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
CENTURYLINK	PHONE-SYS	PHONE-SYS	PHONE-SYS	PHONE SYSTEM
AVAYA	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
SYNON	SYNON/2E	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
ACER	ALTOS	ALTOS	ALTOS	SERVER
GATEWAY	TOWER	TOWER	TOWER	SERVER
INNOVATION	STORAGE-MGMT	STORAGE-MGMT	STORAGE-MGMT	STORAGE MANAGEMENT
NOVELL	NETWARE-4	NETWARE	NETWARE	LAN OPERATING SYSTEM
ORACLE	DEVELOP2000	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
HP	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
UNSPECIFIED	NAS	DISK-NAS	NAS	NETWORK ATTACHED STORAGE
OPEN-SYS	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
IBM	ROUTER	ROUTER	ROUTER	ROUTER
PRIMUS	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED LEASED LINE
ALCATEL	PHONE-SYS	PHONE-SYS	PHONE-SYS	PHONE SYSTEM
TELUS	SONET-SERV	SONET-SERV	SONET-SERV	SONET SERVICE
ORACLE	ID-MGMT	IDENTITY-MGT	SECURITY-MGT	IDENTITY MANAGEMENT
IBM	AIX6000	UNIX	UNIX	OPERATING SYSTEM
INFOR	ERP-UNSPEC	ERP-UNSPEC	ENTPRISE-APP	UNSPECIFIED ERP MODULE
HP	TAPE-LIBRARY	TAPE-LIBRARY	TAPE	TAPE LIBRARY
MICROSOFT	VISUALSTUDIO	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
LIFESIZE	VIDEO-CONF	VIDEO-CONF	VIDEO-CONF	VIDEO CONFERENCING
ORACLE	DEV-TOOL	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
QUALSTAR	TAPE-LIBRARY	TAPE-LIBRARY	TAPE	TAPE LIBRARY
ASUS	DESKTOP	DESKTOP	PC	PERSONAL DESKTOP COMPUTER
LAWSON	ERP-UNSPEC	ERP-UNSPEC	ENTPRISE-APP	UNSPECIFIED ERP MODULE
SUN	EAI	EAI	WORKFLOW	ENTERPRISE APPL INTEGRATION
MICRO-STRAT	BI	BI	DBMS-BI	BUSINESS INTELLIGENCE
SCO	UNIXWARE	NETWARE	NETWARE	LAN OPERATING SYSTEM
SYSPRO	ERP-UNSPEC	ERP-UNSPEC	ENTPRISE-APP	UNSPECIFIED ERP MODULE
HP	DISK	DISK-DRIVE	DISK	DISK DRIVE
SIEBEL	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
SUN	APP-SERVER	APP-SERVER	WORKFLOW	APPLICATION SERVER SOFTWARE
MICROSOFT	W2000-SERVER	W2000-SERVER	W2000-SERVER	LAN OPERATING SYSTEM
ORACLE	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
OTHER	SAN	SAN	SAN	STORAGE AREA NETWORK
	GIGAETHER10			10 GIGAETHERNET
BELL-CANADA	INET-ACCESS			INTERNET ACCESS PROVIDER
WYSE	DESKTOP-MGMT	DESKTOP-MGMT	SYSTEMS-MGMT	DESKTOP MANAGEMENT TOOLS
MICROSOFT	VISTA	WINDOWS	WINDOWS	OPERATING SYSTEM
MINCOM	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
SASKTEL	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED LEASED LINE
UNSPECIFIED	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
MITEL	PHONE-SYS	PHONE-SYS	PHONE-SYS	PHONE SYSTEM
SUN	DISK	DISK-DRIVE	DISK	DISK DRIVE
UUNET	INET-ACCESS			INTERNET ACCESS PROVIDER
EMC	DATA-CENTER	DATA-CENTER	ENTPRISE-MGT	ENTERPRISE MANAGEMENT
TIBCO	EAI	EAI	WORKFLOW	ENTERPRISE APPL INTEGRATION
PRIVATE	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED LEASED LINE
BELL-CANADA	LONG-DIST	LONG-DIST	LONG-DIST	LONG DISTANCE CARRIER
IBM	WORKSTATION	WORKSTATION	WORKSTATION	HIGH PERFORMANCE WORKSTATION
IBM	DESKTOP-MGMT	DESKTOP-MGMT	SYSTEMS-MGMT	DESKTOP MANAGEMENT TOOLS
ORANGE	ETHERNET	ETHERNET	ETHERNET	ETHERNET NETWORK
UNISYS	TAPE-LIBRARY	TAPE-LIBRARY	TAPE	TAPE LIBRARY
SYSTEM-IND	STORAGE-MGMT	STORAGE-MGMT	STORAGE-MGMT	STORAGE MANAGEMENT
DELL	SERVICES			SERVICES VENDOR
FUJITSU	NAS	DISK-NAS	NAS	NETWORK ATTACHED STORAGE
HP	NETSERVER	NETSERVER	NETSERVER	SERVER
IBM	SERVER-MGMT	SERVER-MGMT	SYSTEMS-MGMT	SERVER MANAGEMENT TOOLS
IBM	ESERVER-325	ESERVER-325	ESERVER-325	SERVER
MICROSOFT	W2003-DCSVR	W2003-SERVER	W2003-SERVER	OPERATING SYSTEM
GOLDMINE	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
HP	UNIX	UNIX	UNIX	OPERATING SYSTEM
PROFITKEY	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
ADP	HUMAN-RES	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
MITEL	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
FILENET	DOC-MGMT	DOC-MGMT	WORKFLOW	DOCUMENT MANAGEMENT
EXABYTE	SAN	SAN	SAN	STORAGE AREA NETWORK
ACER	PORTABLE	PORTABLE	PC	PERSONAL PORTABLE COMPUTER
SUN	TAPE-LIBRARY	TAPE-LIBRARY	TAPE	TAPE LIBRARY
BELLSOUTH	VPN	VPN	VPN	VIRTUAL PRIVATE NETWORK
SYBASE	DBMS	DBMS	DBMS-BI	DATABASE MANAGEMENT
INTUITIVE	SUPPLY-CHAIN	SUPPLY-CHAIN	ENTPRISE-APP	SUPPLY CHAIN MANAGEMENT
PLUMTREE	PORTAL	PORTAL-MGMT	WORKFLOW	PORTAL MANAGEMENT
BEI	STORAGE-MGMT	STORAGE-MGMT	STORAGE-MGMT	STORAGE MANAGEMENT
OTHER	PRINTER	PRINTER	PRINTER	PRINTER
WHITE-BOX	SERVER	UNSPEC-SVR	SERVER	SERVER
ALPHA-SOFT	DBMS	DBMS	DBMS-BI	DATABASE MANAGEMENT
PEOPLESOFT	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
4TH-SHIFT	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
PIVOTAL	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
SAGE	HUMAN-RES	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
HP	EAI	EAI	WORKFLOW	ENTERPRISE APPL INTEGRATION
BORLAND	DBMS	DBMS	DBMS-BI	DATABASE MANAGEMENT
				SPECIAL QUESTIONS
EMC	STORAGE-MGMT	STORAGE-MGMT	STORAGE-MGMT	STORAGE MANAGEMENT
WHITE-BOX	PROP-SERVER	UNSPEC-SVR	PROP-SERVER	SERVER
APPLE	MAC-OS/XSVR	MAC-OS/XSVR	MAC-OS/XSVR	LAN OPERATING SYSTEM
MICROSOFT	WIN/NT	WINDOWS/NT	WINDOWS	OPERATING SYSTEM
SARATOGA	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
NETAPP	SAN	SAN	SAN	STORAGE AREA NETWORK
UNISYS	DBMS	DBMS	DBMS-BI	DATABASE MANAGEMENT
AT&T	VPN	VPN	VPN	VIRTUAL PRIVATE NETWORK
WEBMETHODS	EAI	EAI	WORKFLOW	ENTERPRISE APPL INTEGRATION
OTHER	ENTPRISE-MGT	ENTPRISE-MGT	ENTPRISE-MGT	ENTERPRISE MANAGEMENT
UNSPECIFIED	SAAS-EMAIL	SAAS-EMAIL	CLOUD-CMPTNG	EMAIL AS A SERVICE
COMPILER	ACTIVE-X	DEV-TOOL	APPL-MGMT	APPL DEVELOPMENT TOOLS
LSI-LOGIC	NAS	DISK-NAS	NAS	NETWORK ATTACHED STORAGE
SIEMENS	PHONE-SYS	PHONE-SYS	PHONE-SYS	PHONE SYSTEM
UNISYS	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
UNSPECIFIED	INTEL-SERVER	UNSPEC-SVR	INTEL-SERVER	SERVER
IN-HOUSE	ACCOUNTING	ACCOUNTING	ENTPRISE-APP	ACCOUNTING
MINOLTA	COPIER	COPIER	COPIER	OFFICE COPIER
INTENTIA	HUMAN-RES	HUMAN-RES	ENTPRISE-APP	HUMAN RESOURCES MANAGEMENT
SUPER-MICRO	SUPERSERVER	SUPERSERVER	SUPERSERVER	SERVER
RED-HAT	APP-SERVER	APP-SERVER	WORKFLOW	APPLICATION SERVER SOFTWARE
VISIBILITY	SUPPLY-CHAIN	SUPPLY-CHAIN	ENTPRISE-APP	SUPPLY CHAIN MANAGEMENT
GOOGLE	SAAS-EMAIL	SAAS-EMAIL	CLOUD-CMPTNG	EMAIL AS A SERVICE
PROGRESS	DBMS	DBMS	DBMS-BI	DATABASE MANAGEMENT
TADIRAN	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
SENTINL-COM	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
EPICOR	CRM	CRM/SFA	ENTPRISE-APP	CUSTOMER/SALESFORCE MGMT
MAPICS	SUPPLY-CHAIN	SUPPLY-CHAIN	ENTPRISE-APP	SUPPLY CHAIN MANAGEMENT
PRIVATE	ATM-SERV	ATM-SERV	ATM-SERV	ATM SERVICE
BMC	ENTPRISE-MGT	ENTPRISE-MGT	ENTPRISE-MGT	ENTERPRISE MANAGEMENT
OTHER	INET-ACCESS			INTERNET ACCESS PROVIDER
NORTEL	FRAME-RELAY	FRAME-RELAY	FRAME-RELAY	FRAME RELAY SERVICE
SUN	MAINT	MAINT	MAINT	MAINTENANCE VENDOR
VERIO	INET-ACCESS			INTERNET ACCESS PROVIDER
WESTEL	LONG-DIST	LONG-DIST	LONG-DIST	LONG DISTANCE CARRIER
IBM	RATIONAL	SOFT-CONFIG	APPL-MGMT	SOFTWARE CONFIGURATION MGMT
